a                          mot
and                         va
bike                    xe dap
book                      sach
camera                 may anh
computer               maytinh
i                          toi
is                          la
like                     thich
love                       yeu
on                    vao ngay
phone               dien thoai
riding                     dap
school              truong hoc
sunday                chu nhat
today                  hom nay
train                  tau hoa
